Position,Const,Created,Modified,Description,Name,Known For,Birth Date
52,nm0000206,2018-07-18,2021-05-28,46187 points,Keanu Reeves,The Matrix,1964-09-02
53,nm0000195,2018-07-17,2021-01-11,46073 points,Bill Murray,Lost in Translation,1950-09-21
54,nm0910607,2018-08-10,2018-08-23,45674 points,Christoph Waltz,Django Unchained,1956-10-04
55,nm0000619,2018-07-19,2018-08-23,44850 points,Tim Roth,Rob Roy,1961-05-14
56,nm0000453,2018-07-17,2021-06-19,44814 points,Ian Holm,The Lord of the Rings: The Return of the King,1931-09-12
57,nm0005132,2018-08-01,2019-07-06,44409 points,Heath Ledger,Brokeback Mountain,1979-04-04
58,nm0089217,2018-08-01,2021-06-09,44041 points,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring,1977-01-13
59,nm0001608,2018-08-22,2021-07-14,43965 points,Barry Pepper,Saving Private Ryan,1970-04-04
60,nm0000285,2018-07-18,2021-09-11,43931 points,Alec Baldwin,The Departed,1958-04-03
61,nm1055413,2018-08-10,2018-08-24,43545 points,Michael Fassbender,Shame,1977-04-02
62,nm0913822,2018-08-04,2021-12-07,43522 points,Ken Watanabe,The Last Samurai,1959-10-21
63,nm0000592,2018-07-19,2018-08-17,43278 points,Pete Postlethwaite,The Usual Suspects,1946-02-07
64,nm0000640,2018-07-16,2020-07-17,43212 points,Martin Sheen,The Departed,1940-08-03
65,nm0000514,2018-07-19,2018-08-23,43105 points,Michael Madsen,The Hateful Eight,1957-09-25
66,nm0004937,2018-07-31,2021-11-23,42916 points,Jamie Foxx,Ray,1967-12-13
67,nm0000164,2018-07-16,2021-08-30,42828 points,Anthony Hopkins,The Silence of the Lambs,1937-12-31
68,nm0252230,2018-07-26,2020-12-04,42680 points,Chiwetel Ejiofor,12 Years a Slave,1977-07-10
69,nm0001602,2018-07-23,2020-10-03,42201 points,Guy Pearce,Memento,1967-10-05
70,nm0000614,2018-07-18,2019-04-19,41906 points,Alan Rickman,Die Hard,1946-02-21
71,nm0000163,2018-07-16,2021-05-16,41711 points,Dustin Hoffman,Tootsie,1937-08-08
72,nm0000582,2018-07-17,2020-02-09,41464 points,Joe Pesci,Goodfellas,1943-02-09
73,nm0001691,2018-07-22,2019-11-25,41269 points,Geoffrey Rush,The King's Speech,1951-07-06
74,nm0000242,2018-07-24,2021-05-17,41149 points,Mark Wahlberg,The Departed,1971-06-05
75,nm0316079,2018-07-26,2021-11-04,41093 points,Paul Giamatti,Sideways,1967-06-06
76,nm0000160,2018-07-18,2020-03-16,40666 points,Ethan Hawke,Training Day,1970-11-06
77,nm0000401,2018-07-30,2021-05-28,40454 points,Laurence Fishburne,The Matrix,1961-07-30
78,nm0000422,2018-07-19,2021-05-17,39805 points,John Goodman,10 Cloverfield Lane,1952-06-20
79,nm0001884,2018-07-15,2021-12-09,39750 points,Max von Sydow,Det sjunde inseglet,1929-04-10
80,nm0000502,2018-07-17,2020-12-30,39683 points,Christopher Lloyd,Back to the Future,1938-10-22
81,nm0932112,2018-08-24,2018-08-24,37963 points,Mykelti Williamson,Forrest Gump,1957-03-04
82,nm0000008,2018-07-15,2021-05-01,37869 points,Marlon Brando,Apocalypse Now,1924-04-03
83,nm0322407,2018-08-01,2021-06-09,37837 points,Brendan Gleeson,Calvary,1955-03-29
84,nm0200452,2018-08-05,2021-06-05,37792 points,Paul Dano,There Will Be Blood,1984-06-19
85,nm0001745,2018-07-22,2021-09-03,37576 points,Stellan Skarsgård,Good Will Hunting,1951-06-13
86,nm0000332,2018-07-24,2019-01-31,37418 points,Don Cheadle,Crash,1964-11-29
87,nm0005562,2018-07-26,2021-04-08,37218 points,Owen Wilson,The Royal Tenenbaums,1968-11-18
88,nm0117709,2018-08-02,2021-05-07,37180 points,Daniel Brühl,Rush,1978-06-16
89,nm0185819,2018-08-01,2021-05-03,37119 points,Daniel Craig,Casino Royale,1968-03-02
90,nm0001125,2018-07-21,2018-08-23,36780 points,Benicio Del Toro,Sicario,1967-02-19
91,nm0719637,2018-08-05,2018-08-24,36442 points,Jeremy Renner,The Hurt Locker,1971-01-07
92,nm0001804,2018-08-03,2019-06-04,36295 points,Stanley Tucci,Spotlight,1960-11-11
93,nm0001765,2018-07-17,2021-05-09,36291 points,Harry Dean Stanton,Alien,1926-07-14
94,nm0000375,2018-07-19,2020-09-30,36265 points,Robert Downey Jr.,Iron Man,1965-04-04
95,nm0001173,2018-08-02,2018-08-18,36156 points,Aaron Eckhart,The Dark Knight,1968-03-12
96,nm0001321,2018-07-15,2019-06-27,35510 points,Richard Harris,Gladiator,1930-10-01
97,nm0302108,2018-08-06,2018-08-22,35406 points,Zach Galifianakis,The Hangover,1969-10-01
98,nm0151419,2018-08-23,2018-08-23,35387 points,Kyle Chandler,Super 8,1965-09-17
99,nm0000226,2018-07-23,2021-06-03,35326 points,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
100,nm0001136,2018-08-02,2020-02-09,35162 points,Bruce Dern,Nebraska,1936-06-04
101,nm0000661,2018-07-16,2021-11-16,34640 points,Donald Sutherland,The Hunger Games: Catching Fire,1935-07-17
102,nm0000245,2018-07-18,2019-07-11,34627 points,Robin Williams,Mrs. Doubtfire,1951-07-21
103,nm0004778,2018-07-27,2018-08-22,34427 points,Adrien Brody,The Pianist,1973-04-14
104,nm0000120,2018-07-20,2018-08-08,34227 points,Jim Carrey,Ace Ventura: Pet Detective,1962-01-17
105,nm0000237,2018-07-16,2018-08-20,34178 points,John Travolta,Pulp Fiction,1954-02-18
106,nm0001744,2018-07-20,2018-08-01,34156 points,Tom Sizemore,Saving Private Ryan,1961-11-29
107,nm0001285,2018-07-16,2018-08-19,34116 points,Elliott Gould,M*A*S*H,1938-08-29
108,nm0005377,2018-07-30,2021-05-09,33849 points,Sam Rockwell,Moon,1968-11-05
109,nm0000125,2018-07-15,2021-04-20,33663 points,Sean Connery,The Untouchables,1930-08-25
110,nm0000849,2018-08-03,2021-07-15,33539 points,Javier Bardem,Skyfall,1969-03-01
111,nm0000191,2018-07-20,2019-09-22,33362 points,Ewan McGregor,Moulin Rouge!,1971-03-31
112,nm0000596,2018-07-17,2021-07-20,32827 points,Jonathan Pryce,The Two Popes,1947-06-01
113,nm0000982,2018-08-06,2018-08-24,32083 points,Josh Brolin,Avengers: Endgame,1968-02-12
114,nm0000576,2018-07-18,2018-08-21,31912 points,Sean Penn,Mystic River,1960-08-17
115,nm0000362,2018-07-16,2018-07-30,31902 points,Danny DeVito,Matilda,1944-11-17
116,nm0000604,2018-07-18,2021-05-21,31788 points,John C. Reilly,Chicago,1965-05-24
117,nm0001845,2018-07-18,2021-05-24,31465 points,Forest Whitaker,The Last King of Scotland,1961-07-15
118,nm0000434,2018-07-16,2018-07-17,31054 points,Mark Hamill,Star Wars,1951-09-25
119,nm0836121,2018-08-15,2021-05-09,30854 points,Michael Stuhlbarg,A Serious Man,1968-07-05
120,nm0000546,2018-07-18,2020-09-30,30683 points,Matthew Modine,Full Metal Jacket,1959-03-22
121,nm0000513,2018-07-20,2018-11-25,30399 points,William H. Macy,Fargo,1950-03-13
122,nm0001330,2018-07-15,2018-07-16,30256 points,Sterling Hayden,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1916-03-26
123,nm0000606,2018-07-20,2021-07-14,30171 points,Jean Reno,Léon,1948-07-30
124,nm0001626,2018-07-15,2021-05-10,30050 points,Christopher Plummer,Beginners,1929-12-13
125,nm0413168,2018-08-05,2018-08-21,29945 points,Hugh Jackman,Les Misérables,1968-10-12
126,nm0268199,2018-08-01,2021-05-21,29929 points,Colin Farrell,The Lobster,1976-05-31
127,nm0001557,2018-07-30,2021-07-19,29869 points,Viggo Mortensen,The Lord of the Rings: The Return of the King,1958-10-20
128,nm0001758,2018-07-22,2021-12-07,29786 points,Timothy Spall,Sweeney Todd: The Demon Barber of Fleet Street,1957-02-27
129,nm0626259,2018-08-20,2021-07-07,29732 points,Franco Nero,Django Unchained,1941-11-23
130,nm0654648,2018-08-06,2018-08-22,29673 points,David Oyelowo,The Water Man,1976-04-01
131,nm0000609,2021-07-14,2021-07-14,29623 points,Ving Rhames,Pulp Fiction,1959-05-12
132,nm0788335,2018-08-23,2021-04-07,29557 points,Michael Shannon,Take Shelter,1974-08-07
133,nm0924210,2018-08-05,2021-06-06,29255 points,Ben Whishaw,The Lobster,1980-10-14
134,nm0000641,2018-07-19,2018-07-21,29232 points,Gary Sinise,Forrest Gump,1955-03-17
135,nm0000092,2018-07-16,2021-04-20,29135 points,John Cleese,A Fish Called Wanda,1939-10-27
136,nm0000610,2018-07-26,2018-08-22,28981 points,Giovanni Ribisi,Boiler Room,1974-12-17
137,nm0000474,2018-07-18,2021-04-24,28981 points,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
138,nm0000704,2018-07-24,2021-09-13,28927 points,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,1981-01-28
139,nm0000686,2018-07-17,2021-05-09,28737 points,Christopher Walken,The Deer Hunter,1943-03-31
140,nm0000102,2018-07-17,2021-05-17,28721 points,Kevin Bacon,Footloose,1958-07-08
141,nm0000169,2018-07-19,2019-05-31,28628 points,Tommy Lee Jones,The Fugitive,1946-09-15
142,nm1212722,2018-08-06,2018-08-22,28564 points,Benedict Cumberbatch,The Imitation Game,1976-07-19
143,nm0000657,2018-07-20,2021-09-13,28418 points,David Strathairn,"Good Night, and Good Luck.",1949-01-26
144,nm0000297,2018-07-18,2018-08-17,28323 points,Tom Berenger,Inception,1949-05-31
145,nm0001099,2018-07-17,2021-06-05,28131 points,Jeff Daniels,The Squid and the Whale,1955-02-19
146,nm1727304,2018-08-22,2021-07-15,27853 points,Domhnall Gleeson,Ex Machina,1983-05-12
147,nm0000501,2018-07-18,2021-05-26,27692 points,Ray Liotta,Goodfellas,1954-12-18
148,nm0000150,2018-07-17,2018-07-22,27299 points,Michael J. Fox,Back to the Future,1961-06-09
149,nm0001001,2018-07-16,2018-08-19,27206 points,James Caan,The Godfather,1940-03-26
150,nm0790688,2018-08-04,2021-06-25,27016 points,Michael Sheen,Masters of Sex,1969-02-05
151,nm0001731,2018-07-17,2019-06-04,26949 points,Sam Shepard,August: Osage County,1943-11-05
152,nm0000442,2018-08-04,2019-01-03,26047 points,Rutger Hauer,Blade Runner,1944-01-23
153,nm0000685,2018-07-16,2021-07-14,25868 points,Jon Voight,Midnight Cowboy,1938-12-29
154,nm0799777,2018-08-04,2021-05-17,25801 points,J.K. Simmons,Whiplash,1955-01-09
155,nm1706767,2018-08-18,2018-08-24,25547 points,Jonah Hill,21 Jump Street,1983-12-20
156,nm0000273,2018-07-19,2018-08-20,25324 points,Alan Arkin,Argo,1934-03-26
157,nm0000174,2018-07-18,2018-08-16,25215 points,Val Kilmer,The Doors,1959-12-31
158,nm0075321,2018-08-23,2018-08-24,25155 points,Christian Berkel,Valkyrie,1957-10-28
159,nm0000432,2018-07-16,2021-04-16,24984 points,Gene Hackman,The French Connection,1930-01-30
160,nm0000200,2018-07-20,2021-09-24,24823 points,Bill Paxton,Aliens,1955-05-17
161,nm0000154,2018-07-17,2021-07-14,24265 points,Mel Gibson,Braveheart,1956-01-03
162,nm0001215,2018-07-16,2021-05-07,24198 points,Albert Finney,Erin Brockovich,1936-05-09
163,nm0000071,2018-07-14,2018-10-15,24039 points,James Stewart,Anatomy of a Murder,1908-05-20
164,nm0000412,2018-07-18,2021-05-11,23997 points,Andy Garcia,Ocean's Eleven,1956-04-12
165,nm0670408,2019-10-01,2021-09-24,23458 points,Simon Pegg,Shaun of the Dead,1970-02-14
166,nm0000115,2018-07-18,2021-09-07,23437 points,Nicolas Cage,Face/Off,1964-01-07
167,nm0001993,2018-07-21,2019-04-10,23300 points,Vincent Cassel,Black Swan,1966-11-23
168,nm0991810,2018-08-08,2021-07-19,22922 points,Mahershala Ali,House of Cards,1974-02-16
169,nm0000732,2018-07-17,2019-01-27,22887 points,Danny Aiello,Do the Right Thing,1933-06-20
170,nm0005024,2018-08-07,2018-08-22,22740 points,Terrence Howard,Hustle & Flow,1969-03-11
171,nm0001475,2018-08-22,2021-11-02,22548 points,John Lithgow,3rd Rock from the Sun,1945-10-19
172,nm0136797,2018-08-05,2021-05-15,22373 points,Steve Carell,The Office,1962-08-16
173,nm0000027,2018-07-15,2018-07-16,22331 points,Alec Guinness,Star Wars,1914-04-02
174,nm0654110,2018-08-01,2019-12-23,22319 points,Clive Owen,Children of Men,1964-10-03
175,nm0000147,2018-07-22,2018-08-22,21904 points,Colin Firth,A Single Man,1960-09-10
176,nm0396812,2018-08-02,2021-12-09,21773 points,Danny Huston,21 Grams,1962-05-14
177,nm0002017,2018-07-16,2018-07-16,21725 points,Richard Conte,The Godfather,1910-03-24
178,nm0000560,2018-07-17,2018-08-21,21640 points,Nick Nolte,Warrior,1941-02-08
179,nm0000621,2018-07-19,2021-08-18,21491 points,Kurt Russell,The Hateful Eight,1951-03-17
180,nm0000980,2018-08-01,2021-02-06,21202 points,Jim Broadbent,Moulin Rouge!,1949-05-24
181,nm0000156,2018-07-20,2020-12-12,21190 points,Jeff Goldblum,Jurassic Park,1952-10-22
182,nm0638824,2018-08-15,2021-05-26,21157 points,Michael Nyqvist,Mission: Impossible - Ghost Protocol,1960-11-08
183,nm0249291,2018-08-18,2021-09-08,21126 points,Joel Edgerton,The Gift,1974-06-23
184,nm0001016,2018-08-02,2018-08-03,20987 points,David Carradine,Kill Bill: Vol. 2,1936-12-08
185,nm0005458,2018-07-26,2018-08-08,20893 points,Jason Statham,Crank,1967-07-26
186,nm0386472,2018-08-06,2020-02-09,20619 points,Emile Hirsch,Into the Wild,1985-03-13
187,nm0705356,2018-08-01,2018-08-04,20483 points,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2,1989-07-23
188,nm0342488,2018-08-01,2018-08-04,20483 points,Rupert Grint,Harry Potter and the Sorcerer's Stone,1988-08-24
189,nm2955013,2018-08-20,2019-02-05,20420 points,Liam Hemsworth,The Hunger Games,1990-01-13
190,nm0370035,2018-08-17,2018-08-24,20415 points,John Hawkes,The Sessions,1959-09-11
191,nm0000126,2018-07-18,2021-05-05,20298 points,Kevin Costner,The Postman,1955-01-18
192,nm0000489,2018-08-01,2018-08-20,20247 points,Christopher Lee,The Lord of the Rings: The Two Towers,1922-05-27
193,nm0000518,2018-07-17,2018-08-24,20200 points,John Malkovich,Being John Malkovich,1953-12-09
194,nm0051509,2018-08-01,2021-06-09,20074 points,Eric Bana,Dirty John,1968-08-09
195,nm0942482,2018-08-19,2019-04-19,20027 points,Jeffrey Wright,Broken Flowers,1965-12-07
196,nm0000358,2018-07-17,2018-08-20,19979 points,Daniel Day-Lewis,There Will Be Blood,1957-04-29
197,nm0005286,2018-07-30,2018-08-01,19868 points,Haley Joel Osment,The Sixth Sense,1988-04-10
198,nm0924154,2020-02-09,2021-04-07,19851 points,Shea Whigham,Take Shelter,1969-01-05
199,nm0000467,2018-08-20,2018-08-20,19777 points,Don Johnson,Miami Vice,1949-12-15
200,nm1242688,2018-08-21,2018-08-21,19737 points,Josh Hutcherson,The Hunger Games,1992-10-12
201,nm0000313,2018-07-16,2019-04-17,19734 points,Jeff Bridges,The Big Lebowski,1949-12-04
202,nm0186505,2018-08-18,2018-08-23,19718 points,Bryan Cranston,Breaking Bad,1956-03-07
203,nm0333410,2018-08-18,2018-08-22,19649 points,Topher Grace,In Good Company,1978-07-12
204,nm0736622,2018-08-09,2019-12-29,19619 points,Seth Rogen,This Is the End,1982-04-15
205,nm0001774,2018-07-31,2021-05-16,19574 points,Ben Stiller,Zoolander,1965-11-30
206,nm0001358,2018-08-24,2018-08-24,19565 points,Hal Holbrook,Into the Wild,1925-02-17
207,nm0001792,2018-07-15,2018-08-10,19548 points,Rod Taylor,Inglourious Basterds,1930-01-11
208,nm0241121,2018-08-18,2018-08-21,19310 points,Jean Dujardin,The Artist,1972-06-19
209,nm1209966,2018-08-08,2021-12-09,19301 points,Oscar Isaac,Ex Machina,1979-03-09
210,nm0000458,2018-07-21,2021-12-09,19225 points,William Hurt,A History of Violence,1950-03-20
211,nm0000321,2018-07-18,2021-02-07,19186 points,Gabriel Byrne,The Usual Suspects,1950-05-12
212,nm1165110,2018-08-20,2021-09-24,19167 points,Chris Hemsworth,The Avengers,1983-08-11
213,nm0290556,2018-08-07,2021-05-08,19155 points,James Franco,The Disaster Artist,1978-04-19
214,nm0001806,2018-07-18,2019-01-25,19105 points,John Turturro,Barton Fink,1957-02-28
215,nm0695435,2018-08-23,2018-08-23,19075 points,Chris Pratt,Guardians of the Galaxy,1979-06-21
216,nm0005212,2018-08-01,2018-08-05,18411 points,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
217,nm0000140,2018-07-17,2021-07-17,18407 points,Michael Douglas,Behind the Candelabra,1944-09-25
218,nm0164809,2018-08-15,2021-05-25,18301 points,Jason Clarke,Zero Dark Thirty,1969-07-17
219,nm0908919,2018-07-15,2018-08-17,18206 points,Eli Wallach,"Il buono, il brutto, il cattivo",1915-12-07
220,nm0023832,2018-08-04,2018-08-22,18195 points,Mathieu Amalric,Le scaphandre et le papillon,1965-10-25
221,nm0376101,2018-07-16,2018-08-01,18120 points,David Hemmings,Blow-Up,1941-11-18
222,nm0001291,2018-08-04,2018-08-07,17562 points,Rupert Graves,Sherlock,1963-06-30
223,nm0159802,2018-08-04,2018-08-23,17550 points,Jesper Christensen,Spectre,1948-05-16
224,nm0000299,2018-07-18,2018-07-20,17532 points,Michael Biehn,Aliens,1956-07-31
225,nm0941777,2018-08-10,2018-08-23,17243 points,Sam Worthington,Avatar,1976-08-02
226,nm0470981,2018-08-01,2018-08-17,17241 points,Thomas Kretschmann,King Kong,1962-09-08
227,nm0000719,2018-07-16,2018-08-22,17239 points,F. Murray Abraham,The Grand Budapest Hotel,1939-10-24
228,nm1500155,2018-08-04,2021-09-07,17231 points,Robert Pattinson,Twilight,1986-05-13
229,nm0000424,2018-07-30,2021-11-26,17227 points,Hugh Grant,Love Actually,1960-09-09
230,nm0002011,2018-07-15,2018-07-16,17199 points,Lee J. Cobb,12 Angry Men,1911-12-08
231,nm0744834,2018-08-10,2018-08-10,17103 points,Eli Roth,Cabin Fever,1972-04-18
232,nm0001709,2018-08-10,2018-08-10,17103 points,Til Schweiger,Inglourious Basterds,1963-12-19
233,nm0225944,2018-08-10,2018-08-10,17103 points,August Diehl,Inglourious Basterds,1976-01-04
234,nm2356421,2018-08-10,2018-08-10,17103 points,Alexander Fehling,Inglourious Basterds,1981-03-29
235,nm0000020,2018-07-14,2018-07-16,16981 points,Henry Fonda,12 Angry Men,1905-05-16
236,nm0000112,2018-07-20,2018-08-22,16821 points,Pierce Brosnan,The World Is Not Enough,1953-05-16
237,nm0000630,2018-07-30,2021-05-03,16608 points,Liev Schreiber,Spotlight,1967-10-04
238,nm0000249,2018-07-17,2018-08-02,16511 points,James Woods,Vampires,1947-04-18
239,nm0462407,2018-08-05,2018-08-23,16208 points,Sebastian Koch,Das Leben der Anderen,1962-05-31
240,nm0765597,2018-07-30,2021-06-19,16179 points,Peter Sarsgaard,Shattered Glass,1971-03-07
241,nm0296545,2019-10-01,2020-01-15,15694 points,Nick Frost,Paul,1972-03-28
242,nm2353862,2018-08-08,2018-08-23,15616 points,Dev Patel,Slumdog Millionaire,1990-04-23
243,nm0251986,2018-08-04,2018-08-24,15573 points,Jesse Eisenberg,The Social Network,1983-10-05
244,nm0000667,2018-07-24,2018-08-23,15568 points,David Thewlis,Naked,1963-03-20
245,nm0000664,2018-07-18,2018-12-30,15439 points,Patrick Swayze,Dirty Dancing,1952-08-18
246,nm0479471,2018-08-06,2021-05-25,15369 points,Shia LaBeouf,Honey Boy,1986-06-11
247,nm0001427,2018-07-23,2021-07-14,15200 points,Greg Kinnear,As Good as It Gets,1963-06-17
248,nm0004874,2018-07-26,2018-07-26,15124 points,Vin Diesel,Guardians of the Galaxy,1967-07-18
249,nm0000547,2018-07-30,2018-08-15,15091 points,Alfred Molina,Spider-Man 2,1953-05-24
250,nm1663205,2021-05-24,2021-09-03,15020 points,Sharlto Copley,District 9,1973-11-27
251,nm1519666,2018-08-09,2021-04-24,15013 points,Eddie Redmayne,Les Misérables,1982-01-06
252,nm0000056,2018-07-15,2019-07-02,14998 points,Paul Newman,The Hustler,1925-01-26
253,nm0328828,2018-08-22,2021-05-01,14880 point,Matthew Goode,Stoker,1978-04-03
254,nm1159180,2018-08-10,2018-08-18,14860 points,Ed Helms,The Hangover,1974-01-24
255,nm0058581,2018-08-10,2018-08-18,14860 points,Justin Bartha,National Treasure,1978-07-21
256,nm0001497,2018-07-24,2018-11-09,14731 points,Tobey Maguire,Brothers,1975-06-27
257,nm0000110,2018-07-20,2018-08-24,14678 points,Kenneth Branagh,Henry V,1960-12-10
258,nm0000230,2018-07-16,2018-11-23,14520 points,Sylvester Stallone,Rocky,1946-07-06
259,nm0000842,2018-07-15,2018-07-16,14481 points,Martin Balsam,All the President's Men,1919-11-04
260,nm0001647,2018-07-14,2019-04-02,14362 points,Claude Rains,Casablanca,1889-11-10
261,nm0305558,2018-07-31,2020-01-02,14240 points,Gael García Bernal,Mozart in the Jungle,1978-11-30
262,nm0000421,2018-07-21,2018-08-22,14167 points,Cuba Gooding Jr.,Jerry Maguire,1968-01-02
263,nm0548686,2018-08-19,2018-08-22,14118 points,Karl Markovics,Die Fälscher,1963-08-29
264,nm0001812,2018-07-15,2019-10-26,14055 points,Lee Van Cleef,Escape from New York,1925-01-09
265,nm0000007,2018-07-14,2018-07-15,14044 points,Humphrey Bogart,Casablanca,1899-12-25
266,nm0000284,2018-07-18,2018-08-04,14030 points,Adam Baldwin,Serenity,1962-02-27
267,nm0000671,2018-07-26,2019-11-25,13781 points,Billy Bob Thornton,Sling Blade,1955-08-04
268,nm0753314,2018-08-09,2021-04-24,13679 points,Mark Rylance,Bridge of Spies,1960-01-18
269,nm0000286,2018-07-18,2018-07-21,13533 points,Stephen Baldwin,The Usual Suspects,1966-05-12
270,nm0004486,2018-07-18,2018-08-22,13456 points,Bruno Ganz,Der Untergang,1941-03-22
271,nm0000602,2018-07-16,2018-08-22,13410 points,Robert Redford,The Natural,1936-08-18
272,nm0857620,2018-08-24,2021-04-29,13294 points,Justin Theroux,Mulholland Dr.,1971-08-10
273,nm0001673,2018-07-16,2018-07-30,13149 points,Jason Robards,All the President's Men,1922-07-26
274,nm0001657,2018-07-31,2018-07-31,13085 points,Oliver Reed,Gladiator,1938-02-13
275,nm0420955,2018-08-01,2019-11-25,13022 points,Richard Jenkins,The Shape of Water,1947-05-04
