Position,Const,Created,Modified,Description,Name,Known For,Birth Date
90,nm2588606,2018-07-07,2018-07-11,12290 points,Steve McQueen,12 Years a Slave,1969-10-09
91,nm0000881,2018-06-27,2018-07-03,11714 points,Michael Bay,Armageddon,1965-02-17
92,nm0001532,2018-06-20,2018-06-23,11641 points,John McTiernan,Die Hard,1951-01-08
93,nm0000041,2018-05-26,2020-08-11,11471 points,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
94,nm0551128,2018-07-01,2021-10-13,11451 points,Rob Marshall,Mary Poppins Returns,1960-10-17
95,nm0001708,2018-06-24,2021-11-16,11317 points,Joel Schumacher,The Phantom of the Opera,1939-08-29
96,nm0000118,2018-06-10,2021-08-18,11257 points,John Carpenter,The Fog,1948-01-16
97,nm0001024,2018-07-01,2018-07-07,10927 points,Nick Cassavetes,Face/Off,1959-05-21
98,nm1139726,2018-07-04,2018-07-09,10853 points,Neil Burger,Divergent,
99,nm0001565,2018-06-27,2018-07-03,10786 points,Mike Newell,Four Weddings and a Funeral,1942-03-28
100,nm0619923,2018-07-09,2018-07-09,10299 points,Olivier Nakache,Intouchables,1973-04-15
101,nm0865918,2018-07-09,2018-07-09,10299 points,Éric Toledano,Intouchables,1971-07-03
102,nm0281808,2018-05-21,2018-05-21,10200 points,Victor Fleming,Gone with the Wind,1889-02-23
103,nm0043742,2021-05-23,2021-05-25,10153 points,David Ayer,End of Watch,1968-01-18
104,nm0878756,2018-06-28,2018-07-10,10146 points,Tom Tykwer,Lola rennt,1965-05-23
105,nm0504642,2018-07-01,2018-07-11,10094 points,Louis Leterrier,The Incredible Hulk,1973-06-17
106,nm0353673,2018-07-02,2018-07-08,10066 points,Paul Haggis,Crash,1953-03-10
107,nm0005366,2018-06-29,2021-11-01,10061 points,Jay Roach,Trumbo,1957-06-14
108,nm0000601,2018-06-24,2018-07-01,9909 points,Harold Ramis,Ghostbusters,1944-11-21
109,nm1512910,2018-07-07,2018-07-09,9834 points,Duncan Jones,Moon,1971-05-30
110,nm0001566,2018-06-01,2020-01-24,9510 points,Mike Nichols,The Graduate,1931-11-06
111,nm0446819,2018-06-30,2018-06-30,9401 points,Richard Kelly,Donnie Darko,1975-03-28
112,nm0000343,2018-06-16,2020-12-12,9326 points,David Cronenberg,The Fly,1943-03-15
113,nm0661791,2018-07-02,2020-03-26,9322 points,Park Chan-Wook,Ah-ga-ssi,1963-08-23
114,nm0000466,2018-06-26,2020-10-14,9051 points,Jean-Pierre Jeunet,Un long dimanche de fiançailles,1953-09-03
115,nm0000576,2018-07-05,2018-07-05,9034 points,Sean Penn,Mystic River,1960-08-17
116,nm0716347,2018-07-09,2018-07-11,8977 points,Nicolas Winding Refn,The Neon Demon,1970-09-29
117,nm0583600,2018-06-28,2018-07-13,8913 points,Nancy Meyers,It's Complicated,1949-12-08
118,nm0001068,2018-06-29,2019-08-15,8845 points,Sofia Coppola,The Godfather: Part III,1971-05-14
119,nm0275629,2018-07-09,2018-07-13,8750 points,Glenn Ficarra,I Love You Phillip Morris,
120,nm0720135,2018-07-09,2018-07-13,8750 points,John Requa,I Love You Phillip Morris,
121,nm0000436,2018-06-27,2018-06-27,8611 points,Curtis Hanson,L.A. Confidential,1945-03-24
122,nm1429471,2018-07-07,2018-07-12,8427 points,Jaume Collet-Serra,The Shallows,1974-03-23
123,nm0000814,2018-06-10,2018-06-16,8223 points,John G. Avildsen,Rocky,1935-12-21
124,nm1698571,2018-07-11,2018-07-12,8118 points,Evan Goldberg,This Is the End,1982-05-11
125,nm0668247,2018-07-01,2018-07-11,8066 points,Alexander Payne,Nebraska,1961-02-10
126,nm0132709,2018-06-26,2018-07-08,8030 points,Martin Campbell,Casino Royale,1943-10-24
127,nm0885249,2018-07-07,2018-07-12,7942 points,Jean-Marc Vallée,C.R.A.Z.Y.,1963-03-09
128,nm0000916,2018-07-11,2021-11-23,7909 points,Peter Berg,Chicago Hope,1964-03-11
129,nm0366004,2021-04-29,2021-04-29,7856 points,Mary Harron,American Psycho,1953-01-12
130,nm0853238,2018-07-09,2018-07-14,7823 points,Tate Taylor,The Help,1969-06-03
131,nm0000517,2018-06-07,2018-07-09,7751 points,Terrence Malick,Days of Heaven,1943-11-30
132,nm0587955,2018-07-03,2018-07-12,7694 points,Bennett Miller,Foxcatcher,1966-12-30
133,nm0002120,2018-06-24,2018-07-09,7692 points,Lasse Hallström,What's Eating Gilbert Grape,1946-06-02
134,nm0000431,2018-06-26,2021-04-30,7650 points,Taylor Hackford,Ray,1944-12-31
135,nm0024622,2018-06-27,2018-07-03,7626 points,Alejandro Amenábar,The Others,1972-03-31
136,nm0629272,2018-06-27,2018-07-03,7580 points,Andrew Niccol,Gattaca,1964-06-10
137,nm0313623,2018-07-02,2018-07-14,7568 points,Terry George,Hotel Rwanda,1952-12-20
138,nm0001008,2018-05-19,2018-10-15,7563 points,Frank Capra,It's a Wonderful Life,1897-05-18
139,nm0002031,2018-05-20,2018-05-22,7520 points,Michael Curtiz,Casablanca,1886-12-24
140,nm0001885,2018-06-27,2018-07-09,7514 points,Lars von Trier,Dancer in the Dark,1956-04-30
141,nm0565336,2018-07-02,2018-07-13,7462 points,Tom McCarthy,Win Win,1966-06-07
142,nm0000180,2018-05-22,2018-06-01,7389 points,David Lean,Lawrence of Arabia,1908-03-25
143,nm0000080,2018-05-22,2018-05-29,7363 points,Orson Welles,Citizen Kane,1915-05-06
144,nm0000464,2018-06-17,2018-07-14,7345 points,Jim Jarmusch,Broken Flowers,1953-01-22
145,nm0001081,2018-06-29,2018-06-30,7190 points,Cameron Crowe,Almost Famous,1957-07-13
146,nm0001639,2021-06-03,2021-06-03,7129 points,Alex Proyas,Dark City,1963-09-23
147,nm0640334,2018-07-07,2018-07-09,7121 points,Gavin O'Connor,Pride and Glory,1963-12-24
148,nm0002044,2018-06-30,2021-03-04,7067 points,Roger Donaldson,The World's Fastest Indian,1945-11-15
149,nm0510731,2018-07-01,2018-07-08,7058 points,Doug Liman,Edge of Tomorrow,1965-07-24
150,nm0487166,2018-07-07,2021-05-21,6982 points,Yorgos Lanthimos,The Lobster,1973-05-27
151,nm0267512,2018-07-04,2021-05-14,6926 points,Valerie Faris,Little Miss Sunshine,1958-10-20
152,nm0206760,2018-07-04,2021-05-14,6926 points,Jonathan Dayton,Little Miss Sunshine,1957-07-07
153,nm0197636,2018-07-01,2018-07-09,6899 points,Stephen Daldry,The Reader,1960-05-02
154,nm0868153,2018-06-20,2018-07-11,6892 points,Giuseppe Tornatore,La migliore offerta,1956-05-27
155,nm0942504,2018-07-03,2018-07-10,6785 points,Joe Wright,Pride & Prejudice,1972-08-25
156,nm0426059,2021-06-05,2021-06-05,6716 points,Rian Johnson,Knives Out,1973-12-17
157,nm0000264,2018-06-29,2020-02-09,6655 points,Pedro Almodóvar,Hable con ella,1949-09-25
158,nm0161834,2018-07-08,2018-07-14,6582 points,Derek Cianfrance,Blue Valentine,1974-01-23
159,nm1490123,2018-07-05,2018-07-11,6578 points,James Wan,The Conjuring 2,1977-02-26
160,nm0000455,2018-06-18,2019-05-14,6559 points,John Hughes,"Planes, Trains & Automobiles",1950-02-18
161,nm0000005,2018-05-29,2020-04-23,6487 points,Ingmar Bergman,Persona,1918-07-14
162,nm0001756,2018-06-27,2018-06-27,6465 points,Barry Sonnenfeld,Men in Black,1953-04-01
163,nm0319659,2018-07-12,2018-07-12,6310 points,Dan Gilroy,Nightcrawler,1959-06-24
164,nm0891216,2018-07-09,2018-07-09,6283 points,Matthew Vaughn,Kick-Ass,1971-03-07
165,nm0268380,2021-07-19,2021-07-19,6281points,Peter Farrelly,Green Book,1956-12-17
166,nm0000484,2018-06-13,2018-06-20,6240 points,John Landis,The Blues Brothers,1950-08-03
167,nm0001243,2018-06-05,2018-06-07,6197 points,William Friedkin,The French Connection,1935-08-29
168,nm0718645,2018-06-16,2018-07-09,6171 points,Ivan Reitman,Up in the Air,1946-10-27
169,nm0006904,2018-07-05,2018-07-10,6154 points,Tony Gilroy,Michael Clayton,1956-09-11
170,nm0005237,2018-06-27,2018-07-02,6135 points,Anthony Minghella,The Talented Mr. Ripley,1954-01-06
171,nm0001149,2018-06-10,2021-07-09,6049 points,Richard Donner,Superman,1930-04-24
172,nm0001351,2018-06-03,2018-06-07,6008 points,George Roy Hill,The Sting,1921-12-20
173,nm0899121,2018-06-28,2021-06-25,6006 points,Thomas Vinterberg,Jagten,1969-05-19
174,nm0001774,2018-07-06,2018-07-11,5965 points,Ben Stiller,Zoolander,1965-11-30
175,nm0359387,2018-07-07,2021-05-05,5924 points,John Lee Hancock,The Blind Side,1956-12-15
176,nm0107774,2018-07-02,2018-07-02,5910 points,Eric Bress,The Butterfly Effect,
177,nm0344259,2018-07-02,2018-07-02,5910 points,J. Mackye Gruber,The Butterfly Effect,
178,nm0000570,2018-06-12,2018-07-02,5883 points,Alan Parker,Evita,1944-02-14
179,nm0384825,2018-07-07,2018-07-10,5789 points,John Hillcoat,The Proposition,
180,nm0610831,2018-07-04,2018-07-04,5785 points,Gabriele Muccino,The Pursuit of Happyness,1967-05-20
181,nm0003620,2018-06-26,2018-07-06,5774 points,Kevin Smith,Clerks,1970-08-02
182,nm0083348,2018-07-09,2018-07-09,5771 points,Brad Bird,The Incredibles,1957-09-24
183,nm0001379,2018-05-22,2018-06-10,5715 points,John Huston,The Treasure of the Sierra Madre,1906-08-05
184,nm1016428,2018-07-07,2018-07-12,5661 points,James Marsh,The Theory of Everything,1963-04-30
185,nm0003697,2018-07-04,2018-07-04,5601 points,Florian Henckel von Donnersmarck,Das Leben der Anderen,1973-05-02
186,nm0000957,2018-06-25,2018-06-27,5581 points,Jan de Bont,Speed,1943-10-22
187,nm0307497,2018-07-13,2018-07-13,5722 points,Alex Garland,Ex Machina,1970-05-26
188,nm0006487,2018-06-22,2019-03-09,5627 points,Jim Sheridan,In America,1949-02-06
189,nm0026442,2018-07-02,2018-07-07,5548 points,Brad Anderson,Session 9,
190,nm0359734,2018-06-28,2018-07-11,5440 points,Michael Haneke,Caché,1942-03-23
191,nm0000269,2018-06-17,2018-06-30,5429 points,Jean-Jacques Annaud,Der Name der Rose,1943-10-01
192,nm0336620,2018-07-07,2021-11-04,5416 points,F. Gary Gray,Set It Off,1969-07-17
193,nm0386570,2018-06-30,2018-07-02,5358 points,Oliver Hirschbiegel,Das Experiment,1957-12-29
194,nm0943758,2018-05-23,2018-05-30,5309 points,William Wyler,The Best Years of Our Lives,1902-07-01
195,nm1410815,2018-07-08,2018-07-14,5242 points,Asghar Farhadi,Darbareye Elly,1972-05-07
196,nm0000123,2018-07-01,2018-07-09,5236 points,George Clooney,Michael Clayton,1961-05-06
197,nm0400441,2018-07-08,2021-05-25,5179 points,Allen Hughes,The Book of Eli,1972-04-01
198,nm0001188,2018-06-24,2018-07-07,5149 points,Nora Ephron,Julie & Julia,1941-05-19
199,nm0001628,2018-06-10,2018-07-03,5141 points,Sydney Pollack,Tootsie,1934-07-01
200,nm1291105,2018-07-05,2018-07-10,5108 points,J.A. Bayona,El orfanato,1975-05-09
201,nm1509478,2021-09-07,2021-09-08,5075 points,Benny Safdie,Good Time,
202,nm1343394,2021-09-07,2021-09-08,5075 points,Josh Safdie,Good Time,1984-04-03
203,nm0637518,2018-06-29,2018-07-08,5032 points,Phillip Noyce,Rabbit-Proof Fence,1950-04-29
204,nm0000485,2018-05-17,2021-04-13,5023 points,Fritz Lang,Le mépris,1890-12-05
205,nm0001047,2018-06-12,2018-06-12,4884 points,Michael Cimino,The Deer Hunter,1939-02-03
206,nm0958387,2018-06-23,2020-08-19,4857 points,Jerry Zucker,Airplane!,1950-03-11
207,nm0001317,2021-07-07,2021-07-07,4838 points,Renny Harlin,Driven,1959-03-15
208,nm0006960,2018-06-28,2018-07-09,4814 points,John Madden,Shakespeare in Love,1949-04-08
209,nm1049433,2018-07-13,2018-07-13,4804 points,Lenny Abrahamson,Room,1966-11-30
210,nm0000876,2018-07-03,2021-05-16,4729 points,Noah Baumbach,Marriage Story,1969-09-03
211,nm0000019,2018-05-27,2018-06-07,4727 points,Federico Fellini,Le notti di Cabiria,1920-01-20
212,nm0387706,2018-07-05,2019-08-29,4723 points,Gregory Hoblit,Hill Street Blues,1944-11-27
213,nm0612322,2018-05-31,2018-05-31,4668 points,Robert Mulligan,To Kill a Mockingbird,1925-08-23
214,nm0318916,2018-07-05,2021-05-07,4666 points,Craig Gillespie,"I, Tonya",1967-09-01
215,nm1053530,2018-07-07,2018-07-14,4665 points,Tom Ford,A Single Man,1961-08-27
216,nm0000985,2018-06-16,2018-06-27,4611 points,James L. Brooks,Broadcast News,1940-05-09
217,nm1349522,2018-07-09,2018-07-09,4600 points,Jonathan Levine,50/50,
218,nm0603628,2018-07-06,2018-07-06,4598 points,Pierre Morel,Banlieue 13,1964-05-12
219,nm0138809,2018-07-05,2018-07-14,4572 points,John Carney,Sing Street,
220,nm0000386,2018-07-02,2018-07-02,4571 points,Roland Emmerich,Independence Day,1955-11-10
221,nm0570912,2018-07-13,2018-07-13,4476 points,Adam McKay,The Other Guys,1968-04-17
222,nm0001241,2018-06-20,2020-12-04,4457 points,Stephen Frears,Dangerous Liaisons,1941-06-20
223,nm0466349,2018-07-10,2021-07-12,4456 points,Baltasar Kormákur,Mýrin,1966-02-27
224,nm0000568,2018-06-17,2021-05-01,4434 points,Frank Oz,The Muppet Show,1944-05-25
225,nm0001402,2018-06-12,2018-06-12,4427 points,Terry Jones,Monty Python and the Holy Grail,1942-02-01
226,nm0000976,2018-06-20,2018-06-24,4408 points,Martin Brest,Scent of a Woman,1951-08-08
227,nm0531817,2018-07-04,2018-07-07,4355 points,Kevin Macdonald,The Last King of Scotland,1967-10-28
228,nm0000277,2018-06-11,2018-06-24,4340 points,Richard Attenborough,Jurassic Park,1923-08-29
229,nm0400436,2018-07-08,2021-05-25,4330 points,Albert Hughes,The Book of Eli,1972-04-01
230,nm0357891,2018-05-31,2018-06-07,4329 points,Guy Hamilton,Live and Let Die,1922-09-16
231,nm0001415,2018-05-26,2018-05-28,4266 points,Elia Kazan,On the Waterfront,1909-09-07
232,nm0923736,2018-07-03,2018-07-03,4151 points,Joss Whedon,Buffy the Vampire Slayer,1964-06-23
233,nm0002045,2018-05-27,2018-06-03,4129 points,Stanley Donen,Charade,1924-04-13
234,nm0939182,2018-06-25,2018-07-06,4089 points,Kar-Wai Wong,Yi dai zong shi,1956-07-17
235,nm1079062,2021-05-24,2021-05-26,4051 points,Oriol Paulo,El cuerpo,
236,nm0836328,2018-05-30,2018-05-31,4006 points,John Sturges,The Great Escape,1910-01-03
237,nm0797869,2018-06-28,2018-07-03,3978 points,Brad Silberling,City of Angels,1963-09-08
238,nm0711840,2021-08-27,2021-08-27,3970 points,Brett Ratner,Red Dragon,1969-03-28
239,nm0431918,2021-10-13,2021-10-13,3965 points,Mike Judge,Beavis and Butt-Head Do America,1962-10-17
240,nm0000316,2018-06-09,2020-09-02,3903 points,Mel Brooks,Spaceballs,1926-06-28
241,nm2158772,2018-07-10,2019-02-01,3888 points,Jeff Nichols,Take Shelter,1978-12-07
242,nm0000406,2018-05-21,2019-06-06,3884 points,John Ford,The Quiet Man,1894-02-01
243,nm0001331,2018-07-01,2021-03-05,3877 points,Todd Haynes,Far from Heaven,1961-01-02
244,nm0715636,2018-07-06,2018-07-06,3824 points,Peyton Reed,Ant-Man,1964-07-03
245,nm1630273,2018-07-06,2018-07-09,3811 points,Phyllida Lloyd,Mamma Mia!,1957-06-17
246,nm0001490,2018-06-18,2019-01-27,3810 points,Adrian Lyne,Jacob's Ladder,1941-03-04
247,nm0000230,2018-06-12,2018-06-16,3807 points,Sylvester Stallone,Rocky,1946-07-06
248,nm0000126,2018-06-23,2018-07-02,3770 points,Kevin Costner,The Postman,1955-01-18
249,nm0371890,2018-07-09,2018-07-09,3762 points,Michel Hazanavicius,The Artist,1967-03-29
250,nm0001425,2018-06-23,2018-06-25,3699 points,Krzysztof Kieslowski,Trois couleurs: Bleu,1941-06-27
251,nm0721817,2019-04-19,2019-06-27,3682 points,Kevin Reynolds,Waterworld,1952-01-17
252,nm0936404,2018-05-26,2018-06-01,3667 points,Robert Wise,West Side Story,1914-09-10
253,nm1170855,2018-07-09,2018-07-12,3626 points,J.C. Chandor,A Most Violent Year,
254,nm0178376,2018-07-07,2021-04-26,3622 points,Scott Cooper,Crazy Heart,
255,nm0950109,2018-05-31,2018-06-01,3604 points,Terence Young,Dr. No,1915-06-20
256,nm0955443,2018-07-01,2018-07-09,3587 points,Yimou Zhang,Ying xiong,1951-11-14
257,nm0422484,2018-06-01,2018-06-29,3567 points,Norman Jewison,Jesus Christ Superstar,1926-07-21
258,nm0577647,2018-07-12,2018-07-14,3567 points,Theodore Melfi,Hidden Figures,1970-10-27
259,nm0738796,2018-07-01,2018-07-08,3558 points,Mark Romanek,One Hour Photo,1959-09-18
260,nm0001328,2018-05-20,2018-05-30,3517 points,Howard Hawks,Rio Bravo,1896-05-30
261,nm0291205,2018-07-04,2018-07-04,3497 points,David Frankel,The Devil Wears Prada,1959-04-02
262,nm0440913,2018-06-26,2018-07-02,3475 points,Mathieu Kassovitz,Le fabuleux destin d'Amélie Poulain,1967-08-03
263,nm0601619,2018-07-01,2018-07-03,3465 points,Michael Moore,Bowling for Columbine,1954-04-23
264,nm0000265,2018-06-03,2020-09-30,3463 points,Robert Altman,Gosford Park,1925-02-20
265,nm0001878,2018-07-02,2020-08-19,3440 points,David Zucker,Airplane!,1947-10-16
266,nm0322515,2018-06-14,2018-06-18,3387 points,John Glen,For Your Eyes Only,1932-05-15
267,nm0001789,2018-06-01,2019-03-07,3353 points,Andrei Tarkovsky,Solyaris,1932-04-04
268,nm0000682,2018-06-18,2018-07-14,3314 points,Paul Verhoeven,RoboCop,1938-07-18
269,nm0796923,2018-05-28,2018-06-12,3310 points,Don Siegel,Escape from Alcatraz,1912-10-26
270,nm0233757,2018-07-07,2018-07-07,3307 points,Jaco Van Dormael,Mr. Nobody,1957-02-09
271,nm0138620,2018-07-09,2018-07-09,3278 points,Joe Carnahan,Smokin' Aces,1969-05-09
272,nm0281945,2018-07-07,2018-07-07,3275 points,Anne Fletcher,The Proposal,1966-05-01
273,nm0751080,2018-06-25,2018-06-25,3249 points,Chuck Russell,The Blob,1958-05-09
274,nm1503575,2018-07-14,2018-07-14,3247 points,Barry Jenkins,If Beale Street Could Talk,1979-11-19
275,nm0585011,2018-06-29,2018-06-29,3246 points,Roger Michell,Notting Hill,1956-06-05
276,nm0001239,2018-05-31,2018-06-28,3226 points,John Frankenheimer,The Manchurian Candidate,1930-02-19
277,nm1294961,2020-03-16,2020-03-16,3189 points,Michael Spierig,Predestination,
278,nm1294962,2020-03-16,2020-03-16,3189 points,Peter Spierig,Predestination,
